Name,Group,Release,Daily,Weekly
BasicIO.Testcase_HotKeyLegacy_005(),,,,Yes
BasicIO.Testcase_HotKeyLegacy_006(),,,,Yes
BasicIO.Testcase_HotKeyLegacy_007(),,,Yes,Yes
BasicIO.Testcase_HotKeyLegacy_008(),,,,Yes
BasicIO.Testcase_HotKeyLegacy_009(),,,Yes,Yes
BasicIO.Testcase_HotKeyLegacy_001(),,,Yes,Yes
BasicIO.Testcase_HotKeyLegacy_010(),,,,Yes
BasicIO.Testcase_SerialPrint_001(),,,,Yes
BasicIO.Testcase_LogTime_001(),,,Yes,Yes
BasicIO.Testcase_LogTime_002(),,,Yes,Yes
BasicIO.Testcase_LogTime_003(),,,Yes,Yes
BasicIO.Testcase_LogTimeUefi_001(),,,,Yes
BasicIO.Testcase_LogTimeUefi_003(),,,Yes,Yes
BasicIO.Testcase_LogTimeUefi_004(),,,Yes,Yes
BasicIO.Testcase_LogTimeLegacy_001(),,,,Yes
BasicIO.Testcase_LogTimeLegacy_003(),,,,Yes
BasicIO.Testcase_LogTimeLegacy_004(),,,Yes,Yes
BasicIO.Testcase_SerialRedirect_001(),,,Yes,Yes
BasicIO.Testcase_SerialRedirect_002(),,,,Yes
BasicIO.Testcase_SerialRedirect_003(),,,Yes,Yes
BasicIO.Testcase_SerialRedirectUefi_001(),,,Yes,Yes
BasicIO.Testcase_SerialRedirectLegacy_001(),,,Yes,Yes
BasicIO.Testcase_SerialRedirectLegacy_002(),,,,Yes
BootOS.Testcase_OsCompaUefi_006(),,,Yes,Yes
BootOS.Testcase_PxeBootUefi_006(),,,,
Bmc.Testcase_WakeOnline_001(),,,Yes,Yes
Bmc.Testcase_LoadBmcDefault_001(),,,Yes,Yes
Bmc.Testcase_ReportVerToBmc_001(),,,Yes,Yes
Bmc.Testcase_BootModeSet_001(),,,,Yes
Bmc.Testcase_BootModeSet_002(),,,,Yes
Bmc.Testcase_BootModeSet_003(),,,,Yes
Bmc.Testcase_BootModeSet_004(),,,,Yes
Bmc.Testcase_PchTypeReport_001(),,,Yes,Yes
Bmc.Testcase_PowerPolicy_001(),,,Yes,Yes
Bmc.Testcase_PowerPolicy_005(),,,,Yes
Bmc.Testcase_PowerPolicy_006(),,,,Yes
BiosSetup.Testcase_LoadDefault_001(),,,,Yes
BiosSetup.Testcase_LoadDefault_002(),,,Yes,Yes
BiosSetup.Testcase_LoadDefault_003(),,,,Yes
BiosSetup.Testcase_LoadDefault_004(),,,,Yes
BiosSetup.Testcase_LoadDefault_005(),,,,Yes
BiosSetup.Testcase_LoadDefault_006(),,,,Yes
BiosSetup.Testcase_LoadDefault_007(),,,,Yes
BiosSetup.Testcase_LoadDefault_008(),,,,Yes
BiosSetup.Testcase_LoadDefault_009(),,,,Yes
BiosSetup.Testcase_LoadDefault_011(),,,Yes,Yes
BiosSetup.Testcase_LoadDefault_013(),,,Yes,Yes
BiosSetup.Testcase_LoadDefault_014(),,,Yes,Yes
BiosSetup.Testcase_LoadDefault_016(),,,Yes,Yes
BiosSetup.Testcase_LoadDefault_017(),,,Yes,Yes
BiosSetup.Testcase_LoadDefault_015(),,,,Yes
BiosSetup.Testcase_LoadDefault_018(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaults_001(),,,Yes,Yes
BiosSetup.Testcase_LoadCustomDefaults_002(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaults_003(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaults_004(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaults_005(),,,Yes,Yes
BiosSetup.Testcase_LoadCustomDefaultUefi_001(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultUefi_002(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultUefi_003(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultUefi_004(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultUefi_005(),equip,,Yes,Yes
BiosSetup.Testcase_LoadCustomDefaultLegacy_001(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultLegacy_002(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultLegacy_003(),,,,Yes
BiosSetup.Testcase_LoadCustomDefaultLegacy_004(),,,,Yes
